name,mass,calories,protein,carbs,fat
kava,-,85.0,0.0,-,-
jogurtas,-,150.0,3.3,-,-
suris,-,177.0,12.2,-,-
uzsaldyta visiena,-,600.0,55.0,-,-
wrapai,-,900.0,78.1,-,-
