name,mass,calories,protein,carbs,fat
bulvytes,-,330.0,4.5,-,-
rimi vistiena,-,500.0,25.0,-,-
piknik,-,420.0,37.0,-,-
vistiena,-,350.0,55.0,-,-
darzoves,-,100.0,5.0,-,-
bomzpakis,-,200.0,5.0,-,-
