name,mass,calories,protein,carbs,fat
kava,-,70.0,0.0,-,-
lion,-,150.0,1.5,-,-
piknik,-,420.0,37.0,-,-
duona,-,100.0,1.4,-,-
ceburekas,-,250.0,12.0,-,-
wrapai,-,900.0,78.1,-,-
