name,mass,calories,protein,carbs,fat
du jautienos sumustiniai,-,420.0,30.6,-,-
bomzpakis,-,200.0,5.0,-,-
rimi protein bar,-,140.0,10.0,-,-
vistiena su makaronais,-,1170.0,91.0,-,-
