name,mass,calories,protein,carbs,fat
dvi karamelines bandeles,-,330.0,8.25,-,-
lidl kava,-,165.0,25.0,-,-
vistiena,-,600.0,99.0,-,-
ryziai,-,450.0,8.5,-,-
darzoves,-,200.0,3.0,-,-
cipsai,-,230.0,1.3,-,-
