name,mass,calories,protein,carbs,fat
bomzpakis,-,200.0,5.0,-,-
plovas,-,465.0,17.7,-,-
protein bar,-,180.0,22.5,-,-
vistiena su makaronais,-,1170.0,91.0,-,-
