name,mass,calories,protein,carbs,fat
kava,-,150.0,0.0,-,-
rimi protein bar,-,140.0,10.0,-,-
kriause,-,100.0,0.6,-,-
du jautienos sumustiniai,-,410.0,37.0,-,-
piknik,-,840.0,74.0,-,-
popkornai,-,800.0,10.0,-,-
