name,mass,calories,protein,carbs,fat
burokeliu sriuba,-,150.0,3.5,-,-
ceburekas,-,250.0,12.0,-,-
kriause,-,100.0,0.5,-,-
vistiena,-,350.0,55.0,-,-
darzoves,-,100.0,5.0,-,-
suris,-,355.0,24.5,-,-
duona,-,300.0,4.2,-,-
