name,mass,calories,protein,carbs,fat
bomzpakis,-,200.0,5.0,-,-
vistiena,-,460.0,72.6,-,-
darzoves,-,100.0,3.0,-,-
piknik,-,420.0,37.0,-,-
alkoholis,-,1500.0,0.0,-,-
